
This product is licensed by WSO2 LLC. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type           License             
_________________________________________________________________________________________________________________________________________________
Saxon-HE-10.9.jar                                                                                   jar            mpl20
log4j-core-2.25.3.jar                                                                               bundle         apache2
log4j-api-2.25.3.jar                                                                                bundle         apache2
antlr4-runtime-4.7.1.jar                                                                            bundle         bsd
jsch-2.27.7.jar                                                                                     bundle         bsd + ISC
jackson-databind-2.21.0.jar                                                                         bundle         apache2
jackson-annotations-2.21.jar                                                                        bundle         apache2
runtime-diagnostics-tool-1.1.2.jar                                                                  jar            apache2
cava-toml-0.5.0.jar                                                                                 jar            apache2
netty-tcnative-boringssl-static-2.0.75.Final-osx-x86_64.jar                                         bundle         apache2
bcpkix-jdk18on-1.83.jar                                                                             bundle         bouncy
failureaccess-1.0.3.jar                                                                             bundle         apache2
commons-net-3.10.0.jar                                                                              bundle         apache2
netty-tcnative-boringssl-static-2.0.75.Final-windows-x86_64.jar                                     bundle         apache2
org.wso2.micro.integrator.server-4.6.0-alpha.jar                                                    bundle         apache2
slf4j-api-1.7.36.jar                                                                                bundle         mit
poi-ooxml-5.5.1.jar                                                                                 jar            apache2
netty-tcnative-boringssl-static-2.0.75.Final.jar                                                    bundle         apache2
commons-logging-1.2.jar                                                                             bundle         apache2
jackson-datatype-jdk8-2.21.0.jar                                                                    bundle         apache2
re2j-1.2.jar                                                                                        jar            golang
jinjava-2.8.3.jar                                                                                   jar            apache2
org.wso2.carbon.mediation.diagnostics-4.7.269.jar                                                   bundle         apache2
SparseBitSet-1.3.jar                                                                                jar            apache2
slf4j-simple-1.7.36.jar                                                                             bundle         mit
xercesImpl-2.12.2.wso2v1.jar                                                                        bundle         apache2
truffle-runtime-25.0.2.jar                                                                          jar            upl1.0
netty-tcnative-boringssl-static-2.0.75.Final-linux-x86_64.jar                                       bundle         apache2
truffle-api-25.0.2.jar                                                                              jar            upl1.0
commons-lang3-3.20.0.jar                                                                            bundle         apache2
nativeimage-25.0.2.jar                                                                              jar            upl1.0
jakarta.jms-api-3.1.0.jar                                                                           bundle         epl2
bctls-jdk18on-1.83.jar                                                                              bundle         bouncy
regex-25.0.2.jar                                                                                    jar            upl1.0
javax.jms-api-2.0.1.jar                                                                             bundle         cddl1
bcutil-jdk18on-1.83.jar                                                                             bundle         bouncy
jackson-core-2.21.0.jar                                                                             bundle         apache2
log4j-jcl-2.25.3.jar                                                                                bundle         apache2
poi-5.5.1.jar                                                                                       jar            apache2
commons-math3-3.6.1.jar                                                                             bundle         apache2
bcprov-jdk18on-1.83.jar                                                                             bundle         bouncy
icu4j-25.0.2.jar                                                                                    jar            icu
commons-lang-2.6.0.wso2v1.jar                                                                       bundle         apache2
word-25.0.2.jar                                                                                     jar            upl1.0
stax2-api-3.1.4.jar                                                                                 bundle         bsd
collections-25.0.2.jar                                                                              jar            upl1.0
commons-codec-1.21.0.jar                                                                            bundle         apache2
gson-2.13.2.jar                                                                                     bundle         apache2
js-language-25.0.2.jar                                                                              jar            mit + upl1.0
jackson-dataformat-yaml-2.21.0.jar                                                                  bundle         apache2
woodstox-core-asl-4.4.1.jar                                                                         bundle         apache2
netty-tcnative-boringssl-static-2.0.75.Final-linux-aarch_64.jar                                     bundle         apache2
guava-33.5.0-jre.jar                                                                                bundle         apache2
disruptor-3.4.4.jar                                                                                 bundle         apache2
org.wso2.ciphertool-1.2.7.jar                                                                       bundle         apache2
netty-tcnative-boringssl-static-2.0.75.Final-osx-aarch_64.jar                                       bundle         apache2
polyglot-25.0.2.jar                                                                                 jar            upl1.0
config-mapper-1.1.0.jar                                                                             jar            apache2
immutables-exceptions-1.11.3.jar                                                                    jar            apache2
truffle-compiler-25.0.2.jar                                                                         jar            upl1.0
jaxb-api-2.4.0-b180830.0359.jar                                                                     bundle         cddl1
js-scriptengine-25.0.2.jar                                                                          jar            upl1.0
mbassador_1.3.2.wso2v2.jar                                                                          bundle         mit
axis2-transport-mail_2.0.0.wso2v83.jar                                                              bundle         apache2
org.wso2.micro.integrator.log4j2.plugins_4.6.0.alpha.jar                                            bundle         apache2
org.apache.felix.gogo.shell_1.1.4.jar                                                               bundle         apache2
org.osgi.util.function_1.2.0.202109301733.jar                                                       bundle         apache2
antlr-runtime_3.2.0.wso2v1.jar                                                                      bundle         bsd
org.eclipse.equinox.ds_1.6.200.v20200422-1833.jar                                                   bundle         epl2
org.wso2.micro.integrator.websocket.transport_4.6.0.alpha.jar                                       bundle         apache2
libphonenumber_9.0.23.wso2v1.jar                                                                    bundle         apache2
poi-scratchpad_5.5.1.wso2v1.jar                                                                     bundle         apache2
org.apache.velocity.engine-core_2.4.1.jar                                                           bundle         apache2
com.fasterxml.jackson.datatype.jackson-datatype-jsr310_2.21.0.jar                                   bundle         apache2
org.wso2.micro.integrator.ndatasource.common_4.6.0.alpha.jar                                        bundle         apache2
jdbc-pool_11.0.18.wso2v1.jar                                                                        bundle         apache2
synapse-vfs-transport_4.1.0.wso2v18.jar                                                             bundle         apache2
org.apache.commons.commons-configuration2_2.12.0.jar                                                bundle         apache2
com.datastax.driver.core_3.7.1.jar                                                                  bundle         apache2
rhino_1.7.13.wso2v1.jar                                                                             bundle         mpl20
okio_3.16.0.wso2v1.jar                                                                              bundle         apache2
kotlin-stdlib-2.2.10.jar                                                                            jarinbundle    apache2
axiom_1.2.11.wso2v33.jar                                                                            bundle         apache2
grpc-context_1.59.0.wso2v1.jar                                                                      bundle         apache2
rampart-trust_1.7.0.wso2v7.jar                                                                      bundle         apache2
javax.annotation-api_1.3.2.jar                                                                      bundle         cddl1
org.mongodb.driver-core_4.11.5.jar                                                                  bundle         apache2
axis2-transport-jms_2.0.0.wso2v83.jar                                                               bundle         apache2
org.osgi.service.useradmin_1.1.1.202109301733.jar                                                   bundle         apache2
gdata-spreadsheet_3.0.0.wso2v1.jar                                                                  bundle         apache2
gdata-core_1.47.0.wso2v1.jar                                                                        bundle         apache2
org.apache.commons.commons-codec_1.21.0.jar                                                         bundle         apache2
org.wso2.micro.integrator.osgi.security_4.6.0.alpha.jar                                             bundle         apache2
org.eclipse.equinox.p2.extensionlocation_1.5.300.v20240201-0843.jar                                 bundle         epl2
org.codehaus.jettison.jettison_1.5.4.jar                                                            bundle         apache2
org.osgi.service.device_1.1.1.202109301733.jar                                                      bundle         apache2
bcprov-jdk18on_1.83.0.wso2v1.jar                                                                    bundle         bouncy
org.eclipse.equinox.p2.directorywatcher_1.4.300.v20240201-0843.jar                                  bundle         epl2
org.apache.felix.scr_2.2.14.jar                                                                     bundle         apache2
commons-lang3_3.20.0.wso2v1.jar                                                                     bundle         apache2
org.eclipse.equinox.p2.core_2.11.0.v20240210-1628.jar                                               bundle         epl2
org.eclipse.equinox.frameworkadmin.equinox_1.3.100.v20240213-1609.jar                               bundle         epl2
xmlbeans_5.3.0.wso2v1.jar                                                                           bundle         apache2
atomikos_3.8.0.wso2v1.jar                                                                           bundle         apache2
bcprov_1.83.0.jar                                                                                   bundle         bouncy
org.eclipse.equinox.p2.artifact.repository_1.5.300.v20240220-1431.jar                               bundle         epl2
axis2-transport-tcp_2.0.0.wso2v83.jar                                                               bundle         apache2
org.wso2.micro.integrator.probes_4.6.0.alpha.jar                                                    bundle         apache2
org.wso2.micro.integrator.analytics.messageflow.data.publisher_4.6.0.alpha.jar                      bundle         apache2
quartz_2.3.2.wso2v1.jar                                                                             bundle         apache2
tomcat-jsp-api-jdk21_11.0.18.wso2v1.jar                                                             bundle         apache2
commons-httpclient_3.1.0.wso2v7.jar                                                                 bundle         apache2
org.apache.commons.commons-pool2_2.8.0.jar                                                          bundle         apache2
zipkin-sender-okhttp3_2.17.2.wso2v2.jar                                                             bundle         apache2
org.eclipse.equinox.p2.engine_2.10.0.v20240210-0918.jar                                             bundle         epl2
rampart-policy_1.7.0.wso2v7.jar                                                                     bundle         apache2
axis2-transport-mqtt_2.0.0.wso2v83.jar                                                              bundle         apache2
axis2-transport-udp_2.0.0.wso2v83.jar                                                               bundle         apache2
com.google.guava_33.5.0.jre.jar                                                                     bundle         apache2
opencsv_1.8.0.wso2v1.jar                                                                            bundle         apache2
opencsv-1.8.jar                                                                                     jarinbundle    apache2
org.wso2.micro.integrator.analytics.data.publisher.util_4.6.0.alpha.jar                             bundle         apache2
org.eclipse.equinox.p2.repository_2.8.100.v20240207-1113.jar                                        bundle         epl2
org.wso2.micro.integrator.identity.entitlement.mediator_4.6.0.alpha.jar                             bundle         apache2
org.wso2.micro.integrator.mediator.smooks_4.6.0.alpha.jar                                           bundle         apache2
org.wso2.micro.integrator.mediator.datamapper_4.6.0.alpha.jar                                       bundle         apache2
org.eclipse.equinox.p2.touchpoint.eclipse_2.4.200.v20240201-0843.jar                                bundle         epl2
org.wso2.carbon.framework.exporter_4.9.30.jar                                                       bundle         apache2
google-oauth-client-jdk21_1.39.0.wso2v1.jar                                                         bundle         apache2
hapi_2.4.0.wso2v2.jar                                                                               bundle         mpl10
org.eclipse.osgi_3.19.0.v20240213-1246.jar                                                          bundle         epl2
org.osgi.service.http.whiteboard_1.1.1.202109301733.jar                                             bundle         apache2
XmlSchema_1.4.7.wso2v8.jar                                                                          bundle         apache2
javax.servlet.jsp-api_2.2.1.jar                                                                     bundle         cddl1
synapse-nhttp-transport_4.1.0.wso2v18.jar                                                           bundle         apache2
org.eclipse.equinox.event_1.5.100.v20190528-1257.jar                                                bundle         epl1
wsdl4j_1.6.2.wso2v4.jar                                                                             bundle         apache2
org.osgi.service.upnp_1.2.1.202109301733.jar                                                        bundle         apache2
io.zipkin.zipkin2.zipkin_2.27.1.jar                                                                 bundle         apache2
org.eclipse.osgi.services_3.12.300.v20250707-1221.jar                                               bundle         epl2
smooks_1.5.1.wso2v5.jar                                                                             bundle         apache2
jsch_2.27.7.wso2v1.jar                                                                              bundle         bsd
org.wso2.transport.http.netty_6.3.58.jar                                                            bundle         apache2
json-path_2.10.0.wso2v1.jar                                                                         bundle         apache2
swagger-request-validator-core-v3_2.44.1.wso2v1.jar                                                 bundle         apache2
json-schema-validator-2.2.14.jar                                                                    jarinbundle    apache2 + lgpl3
commons-collections_3.2.2.wso2v1.jar                                                                bundle         apache2
org.wso2.micro.integrator.management.apis_4.6.0.alpha.jar                                           bundle         apache2
bcpg_1.83.0.jar                                                                                     bundle         bouncy
org.wso2.carbon.databridge.agent_5.2.66.jar                                                         bundle         apache2
axis2-transport-xmpp_2.0.0.wso2v83.jar                                                              bundle         apache2
org.wso2.micro.integrator.inbound.endpoint.persistence_4.6.0.alpha.jar                              bundle         apache2
swagger-parser_2.1.37.wso2v1.jar                                                                    bundle         apache2
swagger-models-2.2.37.jar                                                                           jarinbundle    apache2
swagger-core-2.2.37.jar                                                                             jarinbundle    apache2
org.eclipse.core.contenttype_3.9.300.v20231218-0909.jar                                             bundle         epl2
com.esotericsoftware.kryo-shaded_3.0.3.jar                                                          bundle         bsd
com.esotericsoftware.minlog_1.3.1.jar                                                               bundle         0bsd
com.fasterxml.jackson.core.jackson-databind_2.21.0.jar                                              bundle         apache2
org.mongodb.bson_4.11.5.jar                                                                         bundle         apache2
org.osgi.service.wireadmin_1.0.2.202109301733.jar                                                   bundle         apache2
tomcat-jdk21_9.0.113.wso2v1.jar                                                                     bundle         apache2
org.eclipse.equinox.p2.console_1.3.300.v20240201-0843.jar                                           bundle         epl2
com.googlecode.json-simple_1.1.1.jar                                                                bundle         apache2
org.eclipse.core.jobs_3.15.200.v20231214-1526.jar                                                   bundle         epl2
io.netty.tcnative-classes_2.0.75.Final.jar                                                          bundle         apache2
net.minidev.json-smart_2.6.0.jar                                                                    bundle         apache2
tomcat-jdk21_11.0.18.wso2v1.jar                                                                     bundle         apache2
org.eclipse.equinox.p2.updatechecker_1.4.200.v20240201-0843.jar                                     bundle         epl2
org.apache.commons.commons-io_2.21.0.jar                                                            bundle         apache2
org.wso2.micro.integrator.inbound.endpoint.osgi_4.6.0.alpha.jar                                     bundle         apache2
org.eclipse.equinox.simpleconfigurator_1.5.200.v20240209-1053.jar                                   bundle         epl2
synapse-samples_4.1.0.wso2v18.jar                                                                   bundle         apache2
com.google.gson_2.13.2.jar                                                                          bundle         apache2
org.wso2.orbit.javax.transaction.jta_1.1.0.wso2v2.jar                                               bundle         apache2
commons-compress_1.28.0.wso2v1.jar                                                                  bundle         apache2
org.wso2.micro.integrator.transport.handlers_4.6.0.alpha.jar                                        bundle         apache2
org.eclipse.equinox.simpleconfigurator.manipulator_2.3.100.v20240201-0843.jar                       bundle         epl2
org.eclipse.equinox.p2.publisher_1.9.100.v20240212-1707.jar                                         bundle         epl2
org.apache.aries.proxy_1.0.1.jar                                                                    bundle         apache2
com.rabbitmq.client_5.20.0.jar                                                                      bundle         apache2
org.wso2.carbon.identity.entitlement.stub_5.15.17.jar                                               bundle         apache2
org.wso2.integration.transaction.counter_1.2.0.jar                                                  bundle         apache2
org.osgi.service.cm_1.6.1.202109301733.jar                                                          bundle         apache2
org.eclipse.equinox.registry_3.12.0.v20240213-1057.jar                                              bundle         epl2
javax.validation.api_1.1.0.Final.jar                                                                bundle         apache2
org.osgi.service.provisioning_1.2.0.201505202024.jar                                                bundle         apache2
org.wso2.carbon.securevault_4.6.0.alpha.jar                                                         bundle         apache2
org.eclipse.equinox.util_1.1.300.v20190714-1852.jar                                                 bundle         epl2
org.wso2.micro.integrator.crypto.impl_4.6.0.alpha.jar                                               bundle         apache2
org.eclipse.equinox.console_1.4.700.v20240213-1244.jar                                              bundle         epl2
axis2_1.6.1.wso2v120.jar                                                                            bundle         apache2
xmlbeans-3.1.0.jar                                                                                  jarinbundle    apache2
synapse-extensions_4.1.0.wso2v18.jar                                                                bundle         apache2
org.osgi.util.promise_1.3.0.202212101352.jar                                                        bundle         apache2
org.wso2.micro.integrator.coordination_4.6.0.alpha.jar                                              bundle         apache2
webharvest-core_2.0.0.wso2v5.jar                                                                    bundle         bsd
commons-email-1.5.jar                                                                               jarinbundle    apache2
org.eclipse.equinox.concurrent_1.3.0.v20240213-1244.jar                                             bundle         epl2
disruptor_3.4.2.wso2v1.jar                                                                          bundle         apache2
rampart-core_1.7.0.wso2v7.jar                                                                       bundle         apache2
org.eclipse.ecf.identity_3.10.0.v20230422-0242.jar                                                  bundle         epl2
org.wso2.micro.integrator.mediation.security_4.6.0.alpha.jar                                        bundle         apache2
org.wso2.carbon.mediator.cache_4.6.0.alpha.jar                                                      bundle         apache2
commons-collections4_4.5.0.wso2v1.jar                                                               bundle         apache2
commons-collections4-4.5.0.jar                                                                      jarinbundle    apache2
org.eclipse.jdt.core.compiler.batch_3.10.2.v20150120-1634.jar                                       bundle         epl1
org.wso2.micro.integrator.security_4.6.0.alpha.jar                                                  bundle         apache2
commons-vfs2_2.2.0.wso2v25.jar                                                                      bundle         apache2
org.wso2.micro.integrator.ntask.core_4.6.0.alpha.jar                                                bundle         apache2
org.mongodb.driver-sync_4.11.5.jar                                                                  bundle         apache2
org.ops4j.pax.logging.pax-logging-api_2.3.2.wso2v1.jar                                              bundle         apache2
org.wso2.micro.integrator.inbound.endpoint_4.6.0.alpha.jar                                          bundle         apache2
org.wso2.micro.integrator.observability_4.6.0.alpha.jar                                             bundle         apache2
org.wso2.carbon.authenticator.stub_4.9.30.jar                                                       bundle         apache2
joda-time_2.14.0.wso2v1.jar                                                                         bundle         apache2
org.wso2.orbit.javax.xml.bind.jaxb-api_2.3.1.wso2v2.jar                                             bundle         apache2
org.eclipse.equinox.frameworkadmin_2.3.100.v20240201-0843.jar                                       bundle         epl2
org.wso2.orbit.sun.xml.ws.jaxws-ri_2.3.2.wso2v1.jar                                                 bundle         apache2
org.wso2.micro.integrator.initializer_4.6.0.alpha.jar                                               bundle         apache2
org.eclipse.ecf.provider.filetransfer.httpclient_4.0.200.v20120319-0616.jar                         bundle         epl1
org.eclipse.core.runtime_3.31.0.v20240215-1631.jar                                                  bundle         epl1
xmlsec_1.5.6.wso2v2.jar                                                                             bundle         apache2
org.wso2.micro.integrator.mediation.ntask_4.6.0.alpha.jar                                           bundle         apache2
org.wso2.orbit.javax.activation.activation_1.1.1.wso2v3.jar                                         bundle         apache2
org.eclipse.equinox.http.service.api_1.2.2.v20231218-2126.jar                                       bundle         epl2
com.fasterxml.jackson.core.jackson-annotations_2.21.0.jar                                           bundle         apache2
commons-net_3.9.0.wso2v1.jar                                                                        bundle         apache2
bcutil_1.83.0.jar                                                                                   bundle         bouncy
bsf-all_3.0.0.wso2v6.jar                                                                            bundle         apache2
synapse-core_4.1.0.wso2v18.jar                                                                      bundle         apache2
org.wso2.carbon.databridge.commons.thrift_5.2.66.jar                                                bundle         apache2
org.wso2.micro.integrator.logging.updater_4.6.0.alpha.jar                                           bundle         apache2
httpclient_4.5.13.wso2v1.jar                                                                        bundle         apache2
javax.el-api_2.2.5.jar                                                                              bundle         cddl1
